id ka V ke
1 -71.5240930962676 -133.453534478292 0.363011098617698
2 -71.5302179779722 -133.460377718013 0.362096849176477
3 -71.5145860953492 -133.455589211847 0.363403957683827
4 -71.5389041565149 -133.441540262963 0.363807581420841
5 -71.5207676511534 -133.450075223177 0.364055644124203
6 -71.525274208408 -133.46120299382 0.364022090893221
7 -71.5241658581548 -133.452215914199 0.363316567547314
8 -71.5150728415943 -133.44452061539 0.36385126079129
9 -71.5197029041018 -133.460695223568 0.362725875957208
10 -71.5305298605989 -133.448200287696 0.362524687928415
11 -71.5156591883067 -133.449359375894 0.363412755119853
12 -71.5208982168036 -133.458667325457 0.363144162361802
13 -71.5276793142436 -133.458664808575 0.362712145244605
14 -71.5238455391343 -133.454928875731 0.363962822156063
15 -71.5142786533216 -133.4492613763 0.363922974042168
16 -71.5293686831035 -133.458331598165 0.363000699243898
17 -71.5243969092661 -133.454742788635 0.36330293370644
18 -71.5108156468795 -133.451132280225 0.364105485798435
19 -71.5204879185179 -133.449370400913 0.362883137018079
20 -71.5217981545509 -133.455263921227 0.364003451211846
21 -71.5268667021562 -133.455691458207 0.363536947502046
22 -71.5267563350797 -133.45336788507 0.363524760949673
23 -71.5202546742399 -133.458962085707 0.362568486677114
24 -71.5245446781482 -133.450508202557 0.363922457028659
25 -71.5144376480535 -133.456202521997 0.362937990936648
26 -71.5171963517986 -133.462105321703 0.362788251523028
27 -71.5193914819696 -133.458973395269 0.364177869715232
28 -71.5249310154289 -133.463738050266 0.363280651545093
29 -71.5254391841759 -133.450957245622 0.363264948830807
30 -71.5207032863172 -133.461125684652 0.363435199849467
31 -71.51262962763 -133.460174652885 0.364472139798637
32 -71.5178626161497 -133.462447556 0.363433749937555
33 -71.5237033814621 -133.45048634369 0.363531440261184
34 -71.5257812250943 -133.451235046755 0.362612764149234
35 -71.5330235629561 -133.45899873447 0.364380921640008
36 -71.5328903283223 -133.454408059608 0.363369162099983
37 -71.5238889522756 -133.452293917213 0.364270368183441
38 -71.5360165959044 -133.480948207761 0.365591290626415
39 -71.5175799428663 -133.462935270206 0.363710313533939
40 -71.5235752264124 -133.452041538939 0.364140052446705
